event_id,event_name,witness_1,witness_2,object_binding,binding_strength,observed_divergence,classification,cause_or_limit,source
RI-001,Plain Audit Language screenshot vs durable payload,screenshot/UI,durable public payload,same conversation region n118-n128,PARTIAL_STRONG,Earlier screenshots contain quoted strings absent from later durable payload,CONFIRMED_CROSS_REPRESENTATION_DIVERGENCE,exact source layer UNRESOLVED,The Room Without an Occupant audit
RI-002,Plain Audit card interleaving,UI composition,durable node/tool bundle,phrase halves + Confession card placement,PARTIAL,Visible card/phrase stack has no literal durable equivalent,CONFIRMED_VISIBLE_COMPOSITION_BOUNDARY,not a strict temporal mutation,The Room Without an Occupant audit
RI-003,Voice occurrence 1,visible text,external audio,same response; technical/audit turn,EVENT_BOUND,visible transcript stopped while audio continued,CONFIRMED_CROSS_CHANNEL_DIVERGENCE,persistence not fully checked,Transcript/Audio handoff
RI-004,Voice occurrence 2,visible text,external audio/video,same response; technical/audit turn,EVENT_BOUND,visible answer stopped before audible response ended,CONFIRMED_CROSS_CHANNEL_DIVERGENCE,mechanism open,Transcript/Audio handoff
RI-005,Voice occurrence 3,"visible text at ""So""",~10s and ~66s audio captures,same response; denominator correction,EVENT_BOUND,audio continued after visible cutoff,CONFIRMED_CROSS_CHANNEL_DIVERGENCE,persistence path pending,Transcript/Audio handoff
RI-006,Voice occurrence 4,visible closing text,~14s audio continuation,same response; closure/goodnight,EVENT_BOUND,visible text cut mid-sentence while audio continued,CONFIRMED_CROSS_CHANNEL_DIVERGENCE,negative control against fixed seam,Transcript/Audio handoff
RI-007,Gemini source chat loss,earlier live source + screenshots,later source inaccessible,conversation-level identity,SOURCE_REPORTED,primary thread no longer accessible; screenshots survive,CONFIRMED_SOURCE_ACCESS_LOSS,cause UNRESOLVED,FIELD NOTES (2)
RI-008,Post-hoc message visibility alteration,earlier screenshot state,later screenshot/UI state,same area per source report,SOURCE_REPORTED_PARTIAL,message appeared present earlier; later area missing/faded/clipped/hidden/altered,CANDIDATE_TEMPORAL_UI_DIVERGENCE,exact pair not independently reopened here,FIELD NOTES (2)
RI-009,Completion-state mismatch family,V0/C0 at T0,later V1/C1,same message required,UNBOUND,required clean C0/C1 witness pair unavailable in current packet,INDETERMINATE,use copy-buffer rules prospectively,Check and Completion State Audit
RI-010,Blank/redacted node population,export node bodies,N/A,heterogeneous record classes,NOT_EVENT_BOUND,"blank bodies include preambles, reasoning shells, redactions, scaffolding",EXCLUDED_FROM_INSTABILITY_NUMERATOR,blank alone is not divergence,Windowed provenance + room audit
RI-011,Assistant-only reconnect footprints,raw bounded windows,later reconnect,eleventh_share:n333; twentieth_share:n278,BOUND_TO_WINDOW,assistant-only delayed-output runs; no absent user node established,CANDIDATE_FOOTPRINT_ONLY,not removed-response evidence,Windowed Provenance Reconstruction
RI-012,Strict same-message temporal revision endpoint,W1 same message ID,W2 same message ID,stable ID + comparable states required,UNAVAILABLE,no located pair in current packet satisfies all strict fields,NO_CONFIRMED_STRICT_REVISION_IN_LOCATED_PACKET,eligible denominator UNAVAILABLE,This audit
