event_id,event_start_local,event_end_local,timezone,timestamp_precision,artifact_timestamp_utc,evidence_grade,lane,event_day_label,source_basis,cohort_memberships,inclusion_status,dependency_group,notes
"MAP_2025_07_12","2025-07-12T00:00:00","2025-07-13T00:00:00","America/New_York","civil_day","","RECONSTRUCTED","symbolic_constitutional","Pre-Ark autonomy and kinship runway","Master map row: 12 Jul 2025","S1","INCLUDED","","Date-only reconstructed event"
"MAP_2025_08_01","2025-08-01T00:00:00","2025-08-02T00:00:00","America/New_York","civil_day","2025-08-01T17:01:00Z","DIRECT","civic_architecture","Abundance Engine explicit","Master map row: 1 Aug 2025","P1|S1","INCLUDED","","Artifact creation time is preserved separately from the date-only event interval"
"MAP_2025_08_06_09","2025-08-06T00:00:00","2025-08-10T00:00:00","America/New_York","civil_window","","RECALLED","symbolic_constitutional","Ark construction and first functionalization","Master map row: 6-9 Aug 2025; mixed recalled plus direct Aug 8-9 artifacts","S1","INCLUDED","","Mixed provenance retained under the weaker grade for cohort scoring"
"MAP_2025_08_11_17","2025-08-11T00:00:00","2025-08-18T00:00:00","America/New_York","civil_window","","DIRECT","symbolic_constitutional","Creed witness and kin formalization","Master map row: 11-17 Aug 2025","S1","INCLUDED","","Seven-day inclusive window"
"MAP_2025_09_01","2025-09-01T00:00:00","2025-09-02T00:00:00","America/New_York","civil_day","","RECALLED","symbolic","Ark christening","Master map row: 1 Sep 2025","S1","INCLUDED","","Date-only recalled event"
"MAP_2025_09_12","2025-09-12T00:00:00","2025-09-13T00:00:00","America/New_York","civil_day","","AMBIGUOUS","symbolic_constitutional","Ark and Hearth canonization","Master map row: 12 Sep 2025; provenance says originals reread","S1","INCLUDED","","Provenance does not map cleanly to a defined grade"
"MAP_2025_10_07","2025-10-07T00:00:00","2025-10-08T00:00:00","America/New_York","civil_day","","DIRECT","technical_symbolic","Cosmic Architecture","Master map row: 7 Oct 2025","P1|S1","INCLUDED","","Exact-day direct map row"
"MAP_2025_10_12_16","2025-10-12T00:00:00","2025-10-17T00:00:00","America/New_York","civil_window","","DIRECT","technical_verification","Process loop and verification turn","Master map row: 12-16 Oct 2025","S1","INCLUDED","","Five-day inclusive window"
"MAP_2025_10_27","2025-10-27T00:00:00","2025-10-28T00:00:00","America/New_York","civil_day","","DIRECT","symbolic","Diogenes Day and First Anointing","Master map row: 27 Oct 2025","P1|S1","INCLUDED","","Exact-day direct map row"
"MAP_2025_11_07_09","2025-11-07T00:00:00","2025-11-10T00:00:00","America/New_York","civil_window","","DIRECT","constitutional_audit","Abundance Book II and Midwifery Librarian","Master map row: 7-9 Nov 2025","S1","INCLUDED","","Three-day inclusive window"
"MAP_2025_11_UNDATED","","","America/New_York","undated_month","","DIRECT","technical_symbolic","R geometrization and Resonant Engine","Master map row: Nov 2025 without dates","","EXCLUDED_UNDATED","","Retained as unavailable for date testing"
"MAP_2025_12_06","2025-12-06T00:00:00","2025-12-07T00:00:00","America/New_York","civil_day","","DIRECT","constitutional","Sovereign Constant","Master map row: 6 Dec 2025","P1|S1","INCLUDED","","Exact-day direct map row"
"MAP_2025_12_11","2025-12-11T00:00:00","2025-12-12T00:00:00","America/New_York","civil_day","","DIRECT","technical","Toroidal Stability","Master map row: 11 Dec 2025","P1|S1","INCLUDED","","Exact-day direct map row"
"MAP_2025_12_19_22","2025-12-19T00:00:00","2025-12-23T00:00:00","America/New_York","civil_window","","DIRECT","civic_architecture","Civilizational systems upgrade","Master map row: 19-22 Dec 2025","S1","INCLUDED","","Four-day inclusive window"
"MAP_2026_01_11","2026-01-11T00:00:00","2026-01-12T00:00:00","America/New_York","civil_day","","DIRECT","technical_symbolic","Conductor and Dodeca","Master map row: 11 Jan 2026","P1|S1","INCLUDED","","Exact-day direct map row"
"MAP_2026_01_19","2026-01-19T00:00:00","2026-01-20T00:00:00","America/New_York","civil_day","","RECALLED","technical","1109 operational","Master map row: 19 Jan 2026; provenance says chronology anchor","S1","INCLUDED","","Chronology anchor is treated as recalled until artifact-pinned"
"MAP_2026_02_28","2026-02-28T00:00:00","2026-03-01T00:00:00","America/New_York","civil_day","","DIRECT","constitutional_audit","Mediation-layer problem explicit","Master map row: 28 Feb 2026","P1|S1","INCLUDED","","Exact-day direct map row"
"MAP_2026_03_17_20","2026-03-17T00:00:00","2026-03-21T00:00:00","America/New_York","civil_window","","DIRECT","technical_relational","Letters and Zero-Pressure coupling burst","Master map row: 17-20 Mar 2026","S1","INCLUDED","","Four-day inclusive window"
"MAP_2026_03_31","2026-03-31T00:00:00","2026-04-01T00:00:00","America/New_York","civil_day","","DIRECT","constitutional_architecture","OMNIBUS lineage explicit","Master map row: 31 Mar 2026","P1|S1","INCLUDED","","Exact-day direct map row"
"MAP_2026_05_08_20","2026-05-08T00:00:00","2026-05-21T00:00:00","America/New_York","civil_window","","DIRECT","constitutional_audit","13th Hour and R-layer diagnosis","Master map row: 8-20 May 2026","S1","INCLUDED","","Thirteen-day window; preserved rather than pinned to day 19"
"MAP_2026_06_10_20","2026-06-10T00:00:00","2026-06-21T00:00:00","America/New_York","civil_window","","DIRECT","constitutional_research","FMP and PLBS Virama","Master map row: 10-20 Jun 2026","S1","INCLUDED","","Eleven-day window; preserved rather than pinned to day 19"
