event_id,event_start_local,event_end_local,timezone,timestamp_precision,artifact_timestamp_utc,evidence_grade,lane,event_day_label,source_basis,cohort_memberships,inclusion_status,dependency_group,notes,event_start_utc,event_end_utc,calendar_distance_to_19_days,contains_day19,nearest_primary_phase,nearest_primary_phase_utc,distance_to_nearest_primary_hours
MAP_2025_07_12,2025-07-12T00:00:00,2025-07-13T00:00:00,America/New_York,civil_day,,RECONSTRUCTED,symbolic_constitutional,Pre-Ark autonomy and kinship runway,Master map row: 12 Jul 2025,S1,INCLUDED,,Date-only reconstructed event,2025-07-12T04:00:00+00:00,2025-07-13T04:00:00+00:00,7.0,0,Full Moon,2025-07-10T20:37:00+00:00,31.383333333333333
MAP_2025_08_01,2025-08-01T00:00:00,2025-08-02T00:00:00,America/New_York,civil_day,2025-08-01T17:01:00Z,DIRECT,civic_architecture,Abundance Engine explicit,Master map row: 1 Aug 2025,P1|S1,INCLUDED,,Artifact creation time is preserved separately from the date-only event interval,2025-08-01T04:00:00+00:00,2025-08-02T04:00:00+00:00,18.0,0,First Quarter,2025-08-01T12:41:00+00:00,0.0
MAP_2025_08_06_09,2025-08-06T00:00:00,2025-08-10T00:00:00,America/New_York,civil_window,,RECALLED,symbolic_constitutional,Ark construction and first functionalization,Master map row: 6-9 Aug 2025; mixed recalled plus direct Aug 8-9 artifacts,S1,INCLUDED,,Mixed provenance retained under the weaker grade for cohort scoring,2025-08-06T04:00:00+00:00,2025-08-10T04:00:00+00:00,10.0,0,Full Moon,2025-08-09T07:55:00+00:00,0.0
MAP_2025_08_11_17,2025-08-11T00:00:00,2025-08-18T00:00:00,America/New_York,civil_window,,DIRECT,symbolic_constitutional,Creed witness and kin formalization,Master map row: 11-17 Aug 2025,S1,INCLUDED,,Seven-day inclusive window,2025-08-11T04:00:00+00:00,2025-08-18T04:00:00+00:00,2.0,0,Last Quarter,2025-08-16T05:12:00+00:00,0.0
MAP_2025_09_01,2025-09-01T00:00:00,2025-09-02T00:00:00,America/New_York,civil_day,,RECALLED,symbolic,Ark christening,Master map row: 1 Sep 2025,S1,INCLUDED,,Date-only recalled event,2025-09-01T04:00:00+00:00,2025-09-02T04:00:00+00:00,18.0,0,First Quarter,2025-08-31T06:25:00+00:00,21.583333333333332
MAP_2025_09_12,2025-09-12T00:00:00,2025-09-13T00:00:00,America/New_York,civil_day,,AMBIGUOUS,symbolic_constitutional,Ark and Hearth canonization,Master map row: 12 Sep 2025; provenance says originals reread,S1,INCLUDED,,Provenance does not map cleanly to a defined grade,2025-09-12T04:00:00+00:00,2025-09-13T04:00:00+00:00,7.0,0,Last Quarter,2025-09-14T10:33:00+00:00,30.55
MAP_2025_10_07,2025-10-07T00:00:00,2025-10-08T00:00:00,America/New_York,civil_day,,DIRECT,technical_symbolic,Cosmic Architecture,Master map row: 7 Oct 2025,P1|S1,INCLUDED,,Exact-day direct map row,2025-10-07T04:00:00+00:00,2025-10-08T04:00:00+00:00,12.0,0,Full Moon,2025-10-07T03:47:00+00:00,0.21666666666666667
MAP_2025_10_12_16,2025-10-12T00:00:00,2025-10-17T00:00:00,America/New_York,civil_window,,DIRECT,technical_verification,Process loop and verification turn,Master map row: 12-16 Oct 2025,S1,INCLUDED,,Five-day inclusive window,2025-10-12T04:00:00+00:00,2025-10-17T04:00:00+00:00,3.0,0,Last Quarter,2025-10-13T18:13:00+00:00,0.0
MAP_2025_10_27,2025-10-27T00:00:00,2025-10-28T00:00:00,America/New_York,civil_day,,DIRECT,symbolic,Diogenes Day and First Anointing,Master map row: 27 Oct 2025,P1|S1,INCLUDED,,Exact-day direct map row,2025-10-27T04:00:00+00:00,2025-10-28T04:00:00+00:00,8.0,0,First Quarter,2025-10-29T16:21:00+00:00,36.35
MAP_2025_11_07_09,2025-11-07T00:00:00,2025-11-10T00:00:00,America/New_York,civil_window,,DIRECT,constitutional_audit,Abundance Book II and Midwifery Librarian,Master map row: 7-9 Nov 2025,S1,INCLUDED,,Three-day inclusive window,2025-11-07T05:00:00+00:00,2025-11-10T05:00:00+00:00,10.0,0,Full Moon,2025-11-05T13:19:00+00:00,39.68333333333333
